"","stage","group","match_id","team1","team2","team1b0","team1b1","team1b0std","team1b1std","team2b0","team2b1","team2b0std","team2b1std","team1points","team2points","team1dpr","team2dpr"
"1","group","a",1,"Turkey","Italy",-2.96550649459237,3.03988901455099,1.01699741684153,0.914382879561724,-6.1636338650876,6.43667393906663,1.08327002585804,0.915023257259166,1505,1642,0.916565164433618,1.09102990033223
"2","group","a",2,"Wales","Switzerland",-7.53258639502053,6.24437695954765,1.585857405792,1.41930406242802,-2.12872572768361,2.39937762648091,0.87224555372008,0.707317582925156,1570,1606,0.977584059775841,1.02292993630573
"3","group","a",13,"Turkey","Wales",-2.96550649459237,3.03988901455099,1.01699741684153,0.914382879561724,-7.53258639502053,6.24437695954765,1.585857405792,1.41930406242802,1505,1570,0.95859872611465,1.04318936877076
"4","group","a",14,"Italy","Switzerland",-6.1636338650876,6.43667393906663,1.08327002585804,0.915023257259166,-2.12872572768361,2.39937762648091,0.87224555372008,0.707317582925156,1642,1606,1.02241594022416,0.978075517661389
"5","group","a",25,"Switzerland","Turkey",-2.12872572768361,2.39937762648091,0.87224555372008,0.707317582925156,-2.96550649459237,3.03988901455099,1.01699741684153,0.914382879561724,1606,1505,1.06710963455149,0.937110834371108
"6","group","a",26,"Italy","Wales",-6.1636338650876,6.43667393906663,1.08327002585804,0.915023257259166,-7.53258639502053,6.24437695954765,1.585857405792,1.41930406242802,1642,1570,1.04585987261146,0.956151035322777
"7","group","b",3,"Denmark","Finland",-7.07584959195211,7.02283141559151,1.26222109620948,1.06696629713417,-5.89325298124359,5.75774764442382,0.941738597239959,0.85972008523355,1631,1410,1.15673758865248,0.864500306560392
"8","group","b",4,"Belgium","Russia",-6.1654946833868,6.03720236394181,1.3358236583091,1.04670080215403,-7.04696209508346,7.18896278238345,1.12238931575107,1.05771821521307,1783,1462,1.21956224350205,0.819966348850252
"9","group","b",15,"Finland","Russia",-5.89325298124359,5.75774764442382,0.941738597239959,0.85972008523355,-7.04696209508346,7.18896278238345,1.12238931575107,1.05771821521307,1410,1462,0.964432284541724,1.03687943262411
"10","group","b",16,"Denmark","Belgium",-7.07584959195211,7.02283141559151,1.26222109620948,1.06696629713417,-6.1654946833868,6.03720236394181,1.3358236583091,1.04670080215403,1631,1783,0.914750420639372,1.09319435928878
"11","group","b",27,"Russia","Denmark",-7.04696209508346,7.18896278238345,1.12238931575107,1.05771821521307,-7.07584959195211,7.02283141559151,1.26222109620948,1.06696629713417,1462,1631,0.896382587369712,1.1155950752394
"12","group","b",28,"Finland","Belgium",-5.89325298124359,5.75774764442382,0.941738597239959,0.85972008523355,-6.1654946833868,6.03720236394181,1.3358236583091,1.04670080215403,1410,1783,0.790802019068985,1.2645390070922
"13","group","c",5,"Austria","North Macedonia",-6.17542452068247,5.83080783685896,1.34768676107823,1.17647814294107,-9.19410349530831,8.97939412776227,1.63601273313669,1.50397769674534,1523,1374,1.10844250363901,0.902166776099803
"14","group","c",6,"Netherlands","Ukraine",-4.98234632245385,5.8079305829261,1.09957844647196,0.958556475487818,-8.08266938904753,7.8950742412052,1.57596393304754,1.45295210995044,1598,1514,1.0554821664465,0.947434292866083
"15","group","c",17,"Netherlands","Austria",-4.98234632245385,5.8079305829261,1.09957844647196,0.958556475487818,-6.17542452068247,5.83080783685896,1.34768676107823,1.17647814294107,1598,1523,1.04924491135916,0.953066332916145
"16","group","c",18,"Ukraine","North Macedonia",-8.08266938904753,7.8950742412052,1.57596393304754,1.45295210995044,-9.19410349530831,8.97939412776227,1.63601273313669,1.50397769674534,1514,1374,1.1018922852984,0.907529722589168
"17","group","c",29,"North Macedonia","Netherlands",-9.19410349530831,8.97939412776227,1.63601273313669,1.50397769674534,-4.98234632245385,5.8079305829261,1.09957844647196,0.958556475487818,1374,1598,0.85982478097622,1.16302765647744
"18","group","c",30,"Ukraine","Austria",-8.08266938904753,7.8950742412052,1.57596393304754,1.45295210995044,-6.17542452068247,5.83080783685896,1.34768676107823,1.17647814294107,1514,1523,0.994090610636901,1.00594451783355
"19","group","d",7,"England","Croatia",-6.38702097723803,6.47076402210895,1.45517219143686,1.2466348850712,-6.40066883472979,6.26160129678584,1.18267530579674,1.02709028244363,1686,1605,1.05046728971963,0.951957295373665
"20","group","d",8,"Scotland","Czech Republic",-6.2159504655092,5.909116359025,1.22039155357446,1.10226621437994,-7.48270297834744,7.70710113943025,1.12187633452222,1.01390916163518,1441,1458,0.988340192043896,1.0117973629424
"21","group","d",19,"Croatia","Czech Republic",-6.40066883472979,6.26160129678584,1.18267530579674,1.02709028244363,-7.48270297834744,7.70710113943025,1.12187633452222,1.01390916163518,1605,1458,1.10082304526749,0.908411214953271
"22","group","d",20,"England","Scotland",-6.38702097723803,6.47076402210895,1.45517219143686,1.2466348850712,-6.2159504655092,5.909116359025,1.22039155357446,1.10226621437994,1686,1441,1.17002081887578,0.854685646500593
"23","group","d",31,"Croatia","Scotland",-6.40066883472979,6.26160129678584,1.18267530579674,1.02709028244363,-6.2159504655092,5.909116359025,1.22039155357446,1.10226621437994,1605,1441,1.11380985426787,0.897819314641745
"24","group","d",32,"Czech Republic","England",-7.48270297834744,7.70710113943025,1.12187633452222,1.01390916163518,-6.38702097723803,6.47076402210895,1.45517219143686,1.2466348850712,1458,1686,0.864768683274021,1.15637860082305
"25","group","e",9,"Spain","Sweden",-3.93633479621692,4.69125835190043,1.19949340548256,1.01678333674172,-5.41803973666497,5.33226803746079,1.19792147307584,1.05834197152297,1648,1569,1.05035054174634,0.952063106796116
"26","group","e",10,"Poland","Slovakia",-6.01574722699086,6.06420251220874,1.19487192764705,1.05953015875088,-4.66913655502223,4.75871050728733,1.30636708067834,1.19199970458745,1549,1475,1.05016949152542,0.952227243382828
"27","group","e",21,"Sweden","Slovakia",-5.41803973666497,5.33226803746079,1.19792147307584,1.05834197152297,-4.66913655502223,4.75871050728733,1.30636708067834,1.19199970458745,1569,1475,1.06372881355932,0.940089228808158
"28","group","e",22,"Spain","Poland",-3.93633479621692,4.69125835190043,1.19949340548256,1.01678333674172,-6.01574722699086,6.06420251220874,1.19487192764705,1.05953015875088,1648,1549,1.06391220142027,0.939927184466019
"29","group","e",33,"Slovakia","Spain",-4.66913655502223,4.75871050728733,1.30636708067834,1.19199970458745,-3.93633479621692,4.69125835190043,1.19949340548256,1.01678333674172,1475,1648,0.89502427184466,1.11728813559322
"30","group","e",34,"Sweden","Poland",-5.41803973666497,5.33226803746079,1.19792147307584,1.05834197152297,-6.01574722699086,6.06420251220874,1.19487192764705,1.05953015875088,1569,1549,1.01291155584248,0.987253027405991
"31","group","f",11,"Hungary","Portugal",-5.12732373466507,4.89567008152904,1.15684370938093,1.036749810135,-7.15614916589073,7.2342236257275,1.32324784112924,1.11989889565917,1468,1666,0.881152460984394,1.13487738419619
"32","group","f",12,"France","Germany",-2.51706407903905,3.00456707570051,1.18694976215305,0.956274268026283,-5.26613479687664,5.62925081964719,1.25049163352444,1.07586388729728,1757,1609,1.09198259788689,0.915765509391007
"33","group","f",23,"Hungary","France",-5.12732373466507,4.89567008152904,1.15684370938093,1.036749810135,-2.51706407903905,3.00456707570051,1.18694976215305,0.956274268026283,1468,1757,0.835515082527035,1.19686648501362
"34","group","f",24,"Portugal","Germany",-7.15614916589073,7.2342236257275,1.32324784112924,1.11989889565917,-5.26613479687664,5.62925081964719,1.25049163352444,1.07586388729728,1666,1609,1.03542573026725,0.96578631452581
"35","group","f",35,"Portugal","France",-7.15614916589073,7.2342236257275,1.32324784112924,1.11989889565917,-2.51706407903905,3.00456707570051,1.18694976215305,0.956274268026283,1666,1757,0.948207171314741,1.0546218487395
"36","group","f",36,"Germany","Hungary",-5.26613479687664,5.62925081964719,1.25049163352444,1.07586388729728,-5.12732373466507,4.89567008152904,1.15684370938093,1.036749810135,1609,1468,1.09604904632153,0.912367930391548
