"","id","rank","country_full","country_abrv","total_points","previous_points","rank_change","confederation","rank_date","rank_uefa","rank_date_max"
"1",43935,1,"Belgium","BEL",1783,1783,0,"UEFA",2021-05-27,1,2021-05-27
"2",43946,2,"France","FRA",1757,1757,0,"UEFA",2021-05-27,2,2021-05-27
"3",43942,4,"England","ENG",1686,1686,0,"UEFA",2021-05-27,3,2021-05-27
"4",43963,5,"Portugal","POR",1666,1666,0,"UEFA",2021-05-27,4,2021-05-27
"5",43969,6,"Spain","ESP",1648,1648,0,"UEFA",2021-05-27,5,2021-05-27
"6",43954,7,"Italy","ITA",1642,1642,0,"UEFA",2021-05-27,6,2021-05-27
"7",43941,10,"Denmark","DEN",1631,1631,0,"UEFA",2021-05-27,7,2021-05-27
"8",43948,12,"Germany","GER",1609,1609,0,"UEFA",2021-05-27,8,2021-05-27
"9",43971,13,"Switzerland","SUI",1606,1606,0,"UEFA",2021-05-27,9,2021-05-27
"10",43938,14,"Croatia","CRO",1605,1605,0,"UEFA",2021-05-27,10,2021-05-27
"11",43960,16,"Netherlands","NED",1598,1598,0,"UEFA",2021-05-27,11,2021-05-27
"12",43974,17,"Wales","WAL",1570,1570,0,"UEFA",2021-05-27,12,2021-05-27
"13",43970,18,"Sweden","SWE",1569,1569,0,"UEFA",2021-05-27,13,2021-05-27
"14",43962,21,"Poland","POL",1549,1549,0,"UEFA",2021-05-27,14,2021-05-27
"15",43934,23,"Austria","AUT",1523,1523,0,"UEFA",2021-05-27,15,2021-05-27
"16",43973,24,"Ukraine","UKR",1514,1515,0,"UEFA",2021-05-27,16,2021-05-27
"17",1902465,25,"Serbia","SRB",1512,1512,0,"UEFA",2021-05-27,17,2021-05-27
"18",43972,29,"Turkey","TUR",1505,1505,0,"UEFA",2021-05-27,18,2021-05-27
"19",44002,36,"Slovakia","SVK",1475,1475,0,"UEFA",2021-05-27,19,2021-05-27
"20",43950,37,"Hungary","HUN",1468,1468,0,"UEFA",2021-05-27,20,2021-05-27
"21",43965,38,"Russia","RUS",1462,1462,0,"UEFA",2021-05-27,21,2021-05-27
"22",43995,40,"Czech Republic","CZE",1458,1458,0,"UEFA",2021-05-27,22,2021-05-27
"23",43961,42,"Norway","NOR",1452,1452,0,"UEFA",2021-05-27,23,2021-05-27
"24",43964,43,"Romania","ROU",1449,1449,0,"UEFA",2021-05-27,24,2021-05-27
"25",43967,44,"Scotland","SCO",1441,1441,0,"UEFA",2021-05-27,25,2021-05-27
"26",43953,47,"Republic of Ireland","IRL",1427,1427,0,"UEFA",2021-05-27,26,2021-05-27
"27",43952,48,"Northern Ireland","NIR",1425,1425,0,"UEFA",2021-05-27,27,2021-05-27
"28",43949,51,"Greece","GRE",1418,1418,0,"UEFA",2021-05-27,28,2021-05-27
"29",43951,52,"Iceland","ISL",1415,1415,0,"UEFA",2021-05-27,29,2021-05-27
"30",43945,54,"Finland","FIN",1410,1410,0,"UEFA",2021-05-27,30,2021-05-27
"31",44037,55,"Bosnia and Herzegovina","BIH",1404,1404,0,"UEFA",2021-05-27,31,2021-05-27
"32",44000,62,"North Macedonia","MKD",1374,1374,0,"UEFA",2021-05-27,32,2021-05-27
"33",43968,63,"Slovenia","SVN",1369,1369,0,"UEFA",2021-05-27,33,2021-05-27
"34",999,64,"Montenegro","MNE",1368,1368,0,"UEFA",2021-05-27,34,2021-05-27
"35",43932,66,"Albania","ALB",1362,1362,0,"UEFA",2021-05-27,35,2021-05-27
"36",43936,71,"Bulgaria","BUL",1339,1339,0,"UEFA",2021-05-27,36,2021-05-27
"37",43984,85,"Israel","ISR",1283,1283,0,"UEFA",2021-05-27,37,2021-05-27
"38",43937,89,"Belarus","BLR",1276,1276,0,"UEFA",2021-05-27,38,2021-05-27
"39",43933,90,"Armenia","ARM",1273,1273,0,"UEFA",2021-05-27,39,2021-05-27
"40",43947,91,"Georgia","GEO",1259,1259,0,"UEFA",2021-05-27,40,2021-05-27
"41",43958,96,"Luxembourg","LUX",1244,1244,0,"UEFA",2021-05-27,41,2021-05-27
"42",43939,97,"Cyprus","CYP",1240,1240,0,"UEFA",2021-05-27,42,2021-05-27
"43",43994,110,"Azerbaijan","AZE",1168,1168,0,"UEFA",2021-05-27,43,2021-05-27
"44",43944,113,"Faroe Islands","FRO",1165,1165,0,"UEFA",2021-05-27,44,2021-05-27
"45",43943,116,"Estonia","EST",1161,1161,0,"UEFA",2021-05-27,45,2021-05-27
"46",1942535,120,"Kosovo","KVX",1151,1151,0,"UEFA",2021-05-27,46,2021-05-27
"47",44027,124,"Kazakhstan","KAZ",1147,1147,0,"UEFA",2021-05-27,47,2021-05-27
"48",43957,134,"Lithuania","LTU",1102,1102,0,"UEFA",2021-05-27,48,2021-05-27
"49",43955,138,"Latvia","LVA",1081,1081,0,"UEFA",2021-05-27,49,2021-05-27
"50",20001,158,"Andorra","AND",1034,1034,0,"UEFA",2021-05-27,50,2021-05-27
"51",43959,175,"Malta","MLT",955,955,0,"UEFA",2021-05-27,51,2021-05-27
"52",44036,177,"Moldova","MDA",948,948,0,"UEFA",2021-05-27,52,2021-05-27
"53",43956,186,"Liechtenstein","LIE",911,911,0,"UEFA",2021-05-27,53,2021-05-27
"54",1941613,195,"Gibraltar","GIB",880,880,0,"UEFA",2021-05-27,54,2021-05-27
"55",43966,210,"San Marino","SMR",804,804,0,"UEFA",2021-05-27,55,2021-05-27
