"","match_id","team1","team2","team1goals","team2goals","team1rank","team2rank","team1points","team2points","diff_goal_abs","diff_goal_ratio","diff_rank","diff_point_abs","diff_point_ratio"
"1",16990,"Montenegro","Israel",1,3,34,37,1368,1283,-2,0.333333333333333,3,85,1.06625097427903
"2",16990,"Israel","Montenegro",3,1,37,34,1283,1368,2,3,-3,-85,0.937865497076023
"3",16989,"Sweden","Armenia",3,1,13,39,1569,1273,2,3,26,296,1.23252160251375
"4",16989,"Armenia","Sweden",1,3,39,13,1273,1569,-2,0.333333333333333,-26,-296,0.811344805608668
"5",16988,"Wales","Albania",0,0,12,35,1570,1362,0,NA,23,208,1.15271659324523
"6",16988,"Albania","Wales",0,0,35,12,1362,1570,0,NA,-23,-208,0.867515923566879
"7",16987,"Russia","Bulgaria",1,0,21,36,1462,1339,1,Inf,15,123,1.09185959671397
"8",16987,"Bulgaria","Russia",0,1,36,21,1339,1462,-1,0,-15,-123,0.915868673050616
"9",16986,"Slovenia","Gibraltar",6,0,33,54,1369,880,6,Inf,21,489,1.55568181818182
"10",16986,"Gibraltar","Slovenia",0,6,54,33,880,1369,-6,0,-21,-489,0.642804967129291
"11",16985,"Faroe Islands","Iceland",0,1,44,29,1165,1415,-1,0,-15,-250,0.823321554770318
"12",16985,"Iceland","Faroe Islands",1,0,29,44,1415,1165,1,Inf,15,250,1.21459227467811
"13",16984,"Italy","Czech Republic",4,0,6,22,1642,1458,4,Inf,16,184,1.12620027434842
"14",16984,"Czech Republic","Italy",0,4,22,6,1458,1642,-4,0,-16,-184,0.887941534713764
"15",16983,"Hungary","Cyprus",1,0,20,42,1468,1240,1,Inf,22,228,1.18387096774194
"16",16983,"Cyprus","Hungary",0,1,42,20,1240,1468,-1,0,-22,-228,0.844686648501362
"17",16982,"Spain","Portugal",0,0,5,4,1648,1666,0,NA,-1,-18,0.989195678271308
"18",16982,"Portugal","Spain",0,0,4,5,1666,1648,0,NA,1,18,1.01092233009709
"19",16981,"Latvia","Lithuania",3,1,49,48,1081,1102,2,3,-1,-21,0.980943738656987
"20",16981,"Lithuania","Latvia",1,3,48,49,1102,1081,-2,0.333333333333333,1,21,1.01942645698427
"21",16980,"North Macedonia","Kazakhstan",4,0,32,47,1374,1147,4,Inf,15,227,1.19790758500436
"22",16980,"Kazakhstan","North Macedonia",0,4,47,32,1147,1374,-4,0,-15,-227,0.834788937409025
"23",16979,"Finland","Estonia",0,1,30,45,1410,1161,-1,0,15,249,1.21447028423773
"24",16979,"Estonia","Finland",1,0,45,30,1161,1410,1,Inf,-15,-249,0.823404255319149
"25",16978,"Malta","Kosovo",1,2,51,46,955,1151,-1,0.5,-5,-196,0.829713292788879
"26",16978,"Kosovo","Malta",2,1,46,51,1151,955,1,2,5,196,1.20523560209424
"27",16977,"Belgium","Greece",1,1,1,28,1783,1418,0,1,27,365,1.2574047954866
"28",16977,"Greece","Belgium",1,1,28,1,1418,1783,0,1,-27,-365,0.795288839035334
"29",16976,"Ukraine","Northern Ireland",1,0,16,27,1514,1425,1,Inf,11,89,1.06245614035088
"30",16976,"Northern Ireland","Ukraine",0,1,27,16,1425,1514,-1,0,-11,-89,0.941215323645971
"31",16975,"Turkey","Moldova",2,0,18,52,1505,948,2,Inf,34,557,1.58755274261603
"32",16975,"Moldova","Turkey",0,2,52,18,948,1505,-2,0,-34,-557,0.629900332225914
"33",16973,"Switzerland","Liechtenstein",7,0,9,53,1606,911,7,Inf,44,695,1.7628979143798
"34",16973,"Liechtenstein","Switzerland",0,7,53,9,911,1606,-7,0,-44,-695,0.567247820672478
"35",16972,"France","Wales",3,0,2,12,1757,1570,3,Inf,10,187,1.11910828025478
"36",16972,"Wales","France",0,3,12,2,1570,1757,-3,0,-10,-187,0.893568582811611
"37",16971,"Germany","Denmark",1,1,8,7,1609,1631,0,1,-1,-22,0.986511342734519
"38",16971,"Denmark","Germany",1,1,7,8,1631,1609,0,1,1,22,1.01367308887508
"39",16970,"England","Austria",1,0,3,15,1686,1523,1,Inf,12,163,1.10702560735391
"40",16970,"Austria","England",0,1,15,3,1523,1686,-1,0,-12,-163,0.903321470937129
"41",16969,"Netherlands","Scotland",2,2,11,25,1598,1441,0,1,14,157,1.1089521165857
"42",16969,"Scotland","Netherlands",2,2,25,11,1441,1598,0,1,-14,-157,0.901752190237797
