"","team","role","position"
"1","Turkey","a4","16-24"
"2","Finland","b3","16-24"
"3","Denmark","b4","16-24"
"4","Netherlands","c4","16-24"
"5","England","d4","16-24"
"6","Sweden","e3","16-24"
"7","Spain","e4","16-24"
"8","Hungary","f4","16-24"
"9","Austria","l37","16-8"
"10","Russia","l38","16-8"
"11","Portugal","l39","16-8"
"12","Finland","l40","16-8"
"13","Finland","l41","16-8"
"14","Poland","l42","16-8"
"15","Finland","l43","16-8"
"16","France","l44","16-8"
"17","Germany","l49","4-2"
"18","North Macedonia","l50","4-2"
"19","Scotland","l45","8-4"
"20","Switzerland","l46","8-4"
"21","Wales","l47","8-4"
"22","Czech Republic","l48","8-4"
"23","Belgium","w49",NA
"24","Slovakia","w50",NA
