"","team","b0","b1","b0std","b1std","total_points"
"1","Albania",-6.0336954439902,5.33695933017875,0.934037588450578,0.870241783400227,1362
"2","Andorra",-8.71325305500167,7.91180399232458,1.19957053792303,1.43866173694289,1034
"3","Armenia",-5.99566252101548,5.39301072903143,1.21797168232061,1.17301077014731,1273
"4","Austria",-6.17542452068247,5.83080783685896,1.34768676107823,1.17647814294107,1523
"5","Azerbaijan",-5.76236942694329,5.336081103906,1.24199160781467,1.35874055399443,1168
"6","Belarus",-7.60725776290902,7.31780780019225,1.12589226993773,1.12215655714697,1276
"7","Belgium",-6.1654946833868,6.03720236394181,1.3358236583091,1.04670080215403,1783
"8","Bulgaria",-7.46904549460834,7.29986927973026,1.24359818226172,1.26646186917609,1339
"9","Croatia",-6.40066883472979,6.26160129678584,1.18267530579674,1.02709028244363,1605
"10","Cyprus",-7.19327477873298,7.15859950725113,1.12413452459134,1.19638749618551,1240
"11","Czech Republic",-7.48270297834744,7.70710113943025,1.12187633452222,1.01390916163518,1458
"12","Denmark",-7.07584959195211,7.02283141559151,1.26222109620948,1.06696629713417,1631
"13","England",-6.38702097723803,6.47076402210895,1.45517219143686,1.2466348850712,1686
"14","Estonia",-8.02531944287951,7.76216697427455,1.19734479399563,1.30762088464406,1161
"15","Faroe Islands",-9.14258795796611,7.90134424216419,1.07832012951555,1.11828990716059,1165
"16","Finland",-5.89325298124359,5.75774764442382,0.941738597239959,0.85972008523355,1410
"17","France",-2.51706407903905,3.00456707570051,1.18694976215305,0.956274268026283,1757
"18","Georgia",-4.92422340516864,5.13847887238859,1.16627777752249,1.18940872868587,1259
"19","Germany",-5.26613479687664,5.62925081964719,1.25049163352444,1.07586388729728,1609
"20","Gibraltar",-10.7132633392594,11.0278964931738,1.54698778815524,2.01613880194468,880
"21","Greece",-4.70883820853096,4.39185595428717,0.803508152702551,0.715523667721036,1418
"22","Hungary",-5.12732373466507,4.89567008152904,1.15684370938093,1.036749810135,1468
"23","Iceland",-7.34915114518845,6.73035493865015,1.03613418886799,0.98328463979715,1415
"24","Israel",-8.1652408582409,8.86361389568983,1.21560149108687,1.28140653480894,1283
"25","Italy",-6.1636338650876,6.43667393906663,1.08327002585804,0.915023257259166,1642
"26","Kazakhstan",-7.06909177342556,7.12650900837778,1.2679326999719,1.39051171682525,1147
"27","Kosovo",-5.86803555286567,6.66783053065378,1.3162573990424,1.38973490614536,1151
"28","Latvia",-5.57871311929314,5.93680946272286,1.26084954817307,1.41532552747497,1081
"29","Liechtenstein",-7.67401586765047,7.7186368441783,1.40596718867998,1.88259835764848,911
"30","Lithuania",-4.72346772314341,4.24269319721796,1.20853923395381,1.43301947004514,1102
"31","Luxembourg",-7.63349520834509,6.52609630934707,1.15379648296435,1.20041135327161,1244
"32","Malta",-6.93914014069615,7.04616394508669,1.22911684916726,1.61959899473334,955
"33","Moldova",-7.62488744428798,8.52234176061764,1.0061287336328,1.33634963972451,948
"34","Montenegro",-9.01371339430847,8.32786959730657,1.85872362506837,1.75124316459301,1368
"35","Netherlands",-4.98234632245385,5.8079305829261,1.09957844647196,0.958556475487818,1598
"36","North Macedonia",-9.19410349530831,8.97939412776227,1.63601273313669,1.50397769674534,1374
"37","Northern Ireland",-8.61165312199119,8.13652160827433,1.58958581774831,1.5762345583681,1425
"38","Norway",-5.12856408882941,5.52193568986177,1.21321268710848,1.10703165551052,1452
"39","Poland",-6.01574722699086,6.06420251220874,1.19487192764705,1.05953015875088,1549
"40","Portugal",-7.15614916589073,7.2342236257275,1.32324784112924,1.11989889565917,1666
"41","Romania",-6.8899709474926,7.10964394969208,1.07880070045101,1.00317492060067,1449
"42","Russia",-7.04696209508346,7.18896278238345,1.12238931575107,1.05771821521307,1462
"43","San Marino",-13.8839158857261,15.122340844191,1.62636986378035,2.48282413177755,804
"44","Scotland",-6.2159504655092,5.909116359025,1.22039155357446,1.10226621437994,1441
"45","Serbia",-6.32947770262113,6.14661058145879,1.87623267368371,1.72018301796798,1512
"46","Slovakia",-4.66913655502223,4.75871050728733,1.30636708067834,1.19199970458745,1475
"47","Slovenia",-6.31039176503122,6.20431251867549,1.08724804473169,1.02657491352072,1369
"48","Spain",-3.93633479621692,4.69125835190043,1.19949340548256,1.01678333674172,1648
"49","Sweden",-5.41803973666497,5.33226803746079,1.19792147307584,1.05834197152297,1569
"50","Switzerland",-2.12872572768361,2.39937762648091,0.87224555372008,0.707317582925156,1606
"51","Turkey",-2.96550649459237,3.03988901455099,1.01699741684153,0.914382879561724,1505
"52","Ukraine",-8.08266938904753,7.8950742412052,1.57596393304754,1.45295210995044,1514
"53","Wales",-7.53258639502053,6.24437695954765,1.585857405792,1.41930406242802,1570
"54","Yugoslavia",-4.39414601529531,10.2785956062604,0.00966579654512932,0.0187255393460572,NA
